genes	name	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
PPP2R5B	2A5B	Q15173	5526	PPP2R5B	7	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323	pubmed:10578065;pubmed:2831201	
PRKACB	KAPCB	P22694	5567	PRKACB	7	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:38964323		
PUDP	HDHD1	Q08623	8226	PUDP	7	pubmed:18614565;pubmed:26474164;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:38964323	pubmed:20722631	
RARS1	SYRC	P54136	5917	RARS1	7	pubmed:26474164;pubmed:28263177;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:19421340;pubmed:35976696;pubmed:562050	
SIRT2	SIR2	Q8IXJ6	22933	SIRT2	7	pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323		
SLC1A5	AAAT	Q15758	6510	SLC1A5	7	pubmed:24555563;pubmed:27006477;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:37942280	doi:10.1182/blood-2019-124380;pubmed:24953180;pubmed:7055559	
SLC2A3	GTR3	P11169	6515	SLC2A3	7	pubmed:16861337;pubmed:24555563;pubmed:27777340;pubmed:28263177;pubmed:33676898;pubmed:35858567;pubmed:37942280	pubmed:19540949	
SLC44A1	CTL1	Q8WWI5	23446	SLC44A1	7	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:37942280;pubmed:38964323		
SYK	KSYK	P43405	6850	SYK	7	pubmed:18614565;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:38964323	pubmed:14527338;pubmed:19758581;pubmed:22147898	
TGM3	TGM3	Q08188	7053	TGM3	7	pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323		
THTPA	THTPA	Q9BU02	79178	THTPA	7	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:30327373;pubmed:35858567;pubmed:38964323		
TMEM109	TM109	Q9BVC6	79073	TMEM109	7	pubmed:16861337;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:33341364;pubmed:37942280;pubmed:38964323		
UMPS	UMPS	P11172	7372	UMPS	7	pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:13654516;pubmed:24448;pubmed:38827	
AASDHPPT	ADPPT	Q9NRN7	60496	AASDHPPT	6	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:30327373;pubmed:38964323		
ADPGK	ADPGK	Q9BRR6	83440	ADPGK	6	pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:35858567;pubmed:38964323		
ALDH3B1	AL3B1	P43353	221	ALDH3B1	6	pubmed:16861337;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:38147558;pubmed:38964323		
ATP11B	AT11B	Q9Y2G3	23200	ATP11B	6	pubmed:19778645;pubmed:26078478;pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33806028	pubmed:30850395	
CDK6	CDK6	Q00534	1021	CDK6	6	pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:30327373;pubmed:35858567;pubmed:38964323		
CMPK2	CMPK2	Q5EBM0	129607	CMPK2	6	pubmed:18494517;pubmed:26474164;pubmed:28263177;pubmed:30327373;pubmed:35858567;pubmed:38964323	pubmed:170192;pubmed:178178;pubmed:180018;pubmed:40615;pubmed:626478	
COMT	COMT	P21964	1312	COMT	6	pubmed:18614565;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:38964323	pubmed:10410961;pubmed:30312994	
GALK1	GALK1	P51570	2584	GALK1	6	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:37942280;pubmed:38964323	pubmed:4943674;pubmed:7129459	
GNPDA2	GNPI2	Q8TDQ7	132789	GNPDA2	6	pubmed:26474164;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323		
LYN	LYN	P07948	4067	LYN	6	pubmed:22954596;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:37942280	pubmed:14527338;pubmed:19758581;pubmed:21951684	
NAXD	NNRD	Q8IW45	55739	NAXD	6	pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:3061454	
NT5C	NT5C	Q8TCD5	30833	NT5C	6	pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:12418222;pubmed:2993713;pubmed:9428647	
OGT	OGT1	O15294	8473	OGT	6	pubmed:24555563;pubmed:27006477;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:17321512;pubmed:20413512;pubmed:8404896	
PGM1	PGM1	P36871	5236	PGM1	6	pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:2533352;pubmed:4829444;pubmed:6240990	
PHOSPHO1	PHOP1	Q8TCT1	162466	PHOSPHO1	6	pubmed:18614565;pubmed:19778645;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:38964323	pubmed:29712634	
PIP4K2B	PI42B	P78356	8396	PIP4K2B	6	pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28689405;pubmed:35858567;pubmed:38964323		
PIP4P1	PP4P1	Q86T03	90809	PIP4P1	6	pubmed:16861337;pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028		
PLD1	PLD1	Q13393	5337	PLD1	6	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:37942280;pubmed:38964323	pubmed:1318026	
PPP1CC	PP1G	P36873	5501	PPP1CC	6	pubmed:24555563;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:37942280;pubmed:38964323	pubmed:10564085;pubmed:3029059	
PRKAA1	AAPK1	Q13131	5562	PRKAA1	6	pubmed:18614565;pubmed:27006477;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:38964323	pubmed:19050047;pubmed:19758581;pubmed:20881209;pubmed:21214270;pubmed:30309849	
PRKAR2A	KAP2	P13861	5576	PRKAR2A	6	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323		
PRKAR2B	KAP3	P31323	5577	PRKAR2B	6	pubmed:18614565;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323		
RBKS	RBSK	Q9H477	64080	RBKS	6	pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:35858567;pubmed:38147558;pubmed:38964323		
RIDA	RIDA	P52758	10247	RIDA	6	pubmed:18494517;pubmed:26474164;pubmed:30327373;pubmed:37942280;pubmed:38147558;pubmed:38964323		
SLC19A1	S19A1	P41440	6573	SLC19A1	6	pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33806028;pubmed:38964323	pubmed:222854;pubmed:32996603;pubmed:659590	
SLC25A6	ADT3	P12236	293	SLC25A6	6	pubmed:26078478;pubmed:27006477;pubmed:28689405;pubmed:33676898;pubmed:37942280;pubmed:38964323	pubmed:21795748;pubmed:27641616	
SLC31A1	COPT1	O15431	1317	SLC31A1	6	pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33806028;pubmed:37942280		
SLC3A2	4F2	P08195	6520	SLC3A2	6	pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33676898;pubmed:37942280	pubmed:19562367	
STEAP3	STEA3	Q658P3	55240	STEAP3	6	pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567	pubmed:16227996;pubmed:26675350	
STK11	STK11	Q15831	6794	STK11	6	pubmed:22954596;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:38964323		
UFD1	UFD1	Q92890	7353	UFD1	6	pubmed:18614565;pubmed:24555563;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323		
YES1	YES	P07947	7525	YES1	6	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:33806028;pubmed:35858567		
AGL	GDE	P35573	178	AGL	5	pubmed:18614565;pubmed:26474164;pubmed:30327373;pubmed:35858567;pubmed:38964323	pubmed:5240360	
APIP	MTNB	Q96GX9	51074	APIP	5	pubmed:26474164;pubmed:27777340;pubmed:28689405;pubmed:35858567;pubmed:38964323		
AQP3	AQP3	Q92482	360	AQP3	5	pubmed:26078478;pubmed:28263177;pubmed:28689405;pubmed:31552303;pubmed:33341364	pubmed:30659792;pubmed:33633837;pubmed:9525951	
ATP6AP1	VAS1	Q15904	537	ATP6AP1	5	pubmed:28263177;pubmed:28689405;pubmed:31552303;pubmed:33806028;pubmed:38964323	pubmed:33341364;pubmed:7796469	
ATP6V0C	VATL	P27449	527	ATP6V0C	5	pubmed:16861337;pubmed:28263177;pubmed:28689405;pubmed:38147558;pubmed:38964323	pubmed:33341364;pubmed:7796469	
ATP7B	ATP7B	P35670	540	ATP7B	5	pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:37942280;pubmed:38964323	pubmed:27935710	
CD38	CD38	P28907	952	CD38	5	pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33806028	pubmed:4365376;pubmed:8250903;pubmed:8394137	
CDC34	UB2R1	P49427	997	CDC34	5	pubmed:18614565;pubmed:24555563;pubmed:30327373;pubmed:35858567;pubmed:38964323		
CSNK1G1	KC1G1	Q9HCP0	53944	CSNK1G1	5	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:38964323		
CSNK1G3	KC1G3	Q9Y6M4	1456	CSNK1G3	5	pubmed:28263177;pubmed:28689405;pubmed:33341364;pubmed:33806028;pubmed:38964323		
DUSP23	DUS23	Q9BVJ7	54935	DUSP23	5	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:36346805;pubmed:38964323		
EBP	EBP	Q15125	10682	EBP	5	pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:33341364;pubmed:37942280		
ENO3	ENOB	P13929	2027	ENO3	5	pubmed:30327373;pubmed:35858567;pubmed:36346805;pubmed:38147558;pubmed:38964323		
GARS1	GARS	P41250	2617	GARS1	5	pubmed:26474164;pubmed:27006477;pubmed:33676898;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
GSTZ1	MAAI	O43708	2954	GSTZ1	5	pubmed:28263177;pubmed:30327373;pubmed:35858567;pubmed:38147558;pubmed:38964323		
IMPDH2	IMDH2	P12268	3615	IMPDH2	5	pubmed:16861337;pubmed:33103907;pubmed:33676898;pubmed:37942280;pubmed:38964323	pubmed:30451390;pubmed:5024037;pubmed:7586576	
KCNAB2	KCAB2	Q13303	8514	KCNAB2	5	pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:38964323		
KLHL18	KLH18	O94889	23276	KLHL18	5	pubmed:18614565;pubmed:26474164;pubmed:28689405;pubmed:30327373;pubmed:38964323		
LCMT1	LCMT1	Q9UIC8	51451	LCMT1	5	pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:38147558;pubmed:38964323	pubmed:8514774	
LYPLA2	LYPA2	O95372	11313	LYPLA2	5	pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:35858567		
MGST2	MGST2	Q99735	4258	MGST2	5	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028		
NUDT2	AP4A	P50583	318	NUDT2	5	pubmed:18614565;pubmed:26474164;pubmed:30327373;pubmed:35858567;pubmed:38964323	pubmed:7767787	
OARD1	OARD1	Q9Y530	221443	OARD1	5	pubmed:24555563;pubmed:28263177;pubmed:33806028;pubmed:35858567;pubmed:38964323		
PPIP5K2	VIP2	O43314	23262	PPIP5K2	5	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38964323		
PRKAG1	AAKG1	P54619	5571	PRKAG1	5	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:38964323	pubmed:19050047;pubmed:19758581;pubmed:20881209;pubmed:21214270;pubmed:30309849	
PSPH	SERB	P78330	5723	PSPH	5	pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:37942280;pubmed:38964323		
PYGB	PYGB	P11216	5834	PYGB	5	pubmed:24555563;pubmed:26474164;pubmed:30327373;pubmed:33676898;pubmed:38964323	pubmed:5240360	
PYGL	PYGL	P06737	5836	PYGL	5	pubmed:26474164;pubmed:33103907;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:5240360	
QARS1	SYQ	P47897	5859	QARS1	5	pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
SLC27A2	S27A2	O14975	11001	SLC27A2	5	pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:37942280;pubmed:38964323		
SLC9A6	SL9A6	Q92581	10479	SLC9A6	5	pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:33806028;pubmed:38964323		
SMPDL3B	ASM3B	Q92485	27293	SMPDL3B	5	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:37942280		
SRM	SPEE	P19623	6723	SRM	5	pubmed:18614565;pubmed:24555563;pubmed:30327373;pubmed:37942280;pubmed:38964323		
ZDHHC5	ZDHC5	Q9C0B5	25921	ZDHHC5	5	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33806028		
AGPAT1	PLCA	Q99943	10554	AGPAT1	4	pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:38964323		
ANO6	ANO6	Q4KMQ2	196527	ANO6	4	pubmed:28689405;pubmed:30271928;pubmed:31552303;pubmed:38964323	pubmed:12669124;pubmed:23021219;pubmed:32222693;pubmed:38033286	
ANPEP	AMPN	P15144	290	ANPEP	4	pubmed:16861337;pubmed:28263177;pubmed:30271928;pubmed:38964323	pubmed:7002549	
ATP6V1C1	VATC1	P21283	528	ATP6V1C1	4	pubmed:26474164;pubmed:30327373;pubmed:35858567;pubmed:38964323	pubmed:33341364;pubmed:7796469	
CBR3	CBR3	O75828	874	CBR3	4	pubmed:24555563;pubmed:28689405;pubmed:30327373;pubmed:38147558		
CDIPT	CDIPT	O14735	10423	CDIPT	4	pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:38964323	pubmed:10575355	
CDK5	CDK5	Q00535	1020	CDK5	4	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33676898		
CHAC2	CHAC2	Q8WUX2	494143	CHAC2	4	pubmed:18614565;pubmed:28689405;pubmed:30327373;pubmed:38964323		
CUL4B	CUL4B	Q13620	8450	CUL4B	4	pubmed:18614565;pubmed:30327373;pubmed:37942280;pubmed:38964323		
DNM3	DYN3	Q9UQ16	26052	DNM3	4	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028		
FAF2	FAF2	Q96CS3	23197	FAF2	4	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028		
FBXO4	FBX4	Q9UKT5	26272	FBXO4	4	pubmed:18614565;pubmed:24555563;pubmed:28263177;pubmed:38964323		
FKBP5	FKBP5	Q13451	2289	FKBP5	4	pubmed:18614565;pubmed:24555563;pubmed:35858567;pubmed:37942280		
GAPDHS	G3PT	O14556	26330	GAPDHS	4	pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:37942280		
GPT	ALAT1	P24298	2875	GPT	4	pubmed:26474164;pubmed:28689405;pubmed:38147558;pubmed:38964323	pubmed:6934695	
HSD17B11	DHB11	Q8NBQ5	51170	HSD17B11	4	pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:38964323		
MAPK3	MK03	P27361	5595	MAPK3	4	pubmed:24555563;pubmed:30327373;pubmed:33341364;pubmed:38964323	pubmed:22147898;pubmed:31709379	
MTM1	MTM1	Q13496	4534	MTM1	4	pubmed:24555563;pubmed:28689405;pubmed:35858567;pubmed:38964323		
NADK2	NAKD2	Q4G0N4	133686	NADK2	4	pubmed:24555563;pubmed:28263177;pubmed:37942280;pubmed:38964323		
NAPEPLD	NAPEP	Q6IQ20	222236	NAPEPLD	4	pubmed:28263177;pubmed:28689405;pubmed:33806028;pubmed:38964323	pubmed:15630208	
PCBD1	PHS	P61457	5092	PCBD1	4	pubmed:28689405;pubmed:35858567;pubmed:36346805;pubmed:38964323		
PCYT2	PCY2	Q99447	5833	PCYT2	4	pubmed:27006477;pubmed:30327373;pubmed:38147558;pubmed:38964323	pubmed:6574471	CDP-choline can only accumulate if formed.
PGK2	PGK2	P07205	5232	PGK2	4	pubmed:26474164;pubmed:27006477;pubmed:30327373;pubmed:38147558		
PIP5K1A	PI51A	Q99755	8394	PIP5K1A	4	pubmed:19778645;pubmed:28263177;pubmed:30327373;pubmed:33806028	pubmed:2170402;pubmed:8869744;pubmed:8955136	
PMM2	PMM2	O15305	5373	PMM2	4	pubmed:18614565;pubmed:26474164;pubmed:37942280;pubmed:38964323		
PRMT1	ANM1	Q99873	3276	PRMT1	4	pubmed:28689405;pubmed:30327373;pubmed:33676898;pubmed:38964323	pubmed:30312994	
PRPS1L1	PRPS3	P21108	221823	PRPS1L1	4	pubmed:16861337;pubmed:24555563;pubmed:28689405;pubmed:35858567		
SDSL	SDSL	Q96GA7	113675	SDSL	4	pubmed:26474164;pubmed:27006477;pubmed:30327373;pubmed:38964323		
SYNJ1	SYNJ1	O43426	8867	SYNJ1	4	pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:38964323	pubmed:6271223	
TRPV2	TRPV2	Q9Y5S1	51393	TRPV2	4	pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303	pubmed:33596644	
ZDHHC20	ZDH20	Q5W0Z9	253832	ZDHHC20	4	pubmed:28689405;pubmed:31552303;pubmed:33806028;pubmed:38964323		
ZDHHC3	ZDHC3	Q9NYG2	51304	ZDHHC3	4	pubmed:28263177;pubmed:28689405;pubmed:31552303;pubmed:33806028		
ABHD17B	AB17B	Q5VST6	51104	ABHD17B	3	pubmed:28263177;pubmed:28689405;pubmed:33806028		
ADSS2	PURA2	P30520	159	ADSS2	3	pubmed:18494517;pubmed:30327373;pubmed:38964323	pubmed:29079593	
AGPAT3	PLCC	Q9NRZ7	56894	AGPAT3	3	pubmed:28689405;pubmed:33806028;pubmed:38964323		
ATP11A	AT11A	P98196	23250	ATP11A	3	pubmed:28689405;pubmed:31552303;pubmed:38964323	pubmed:30850395	
ATP1B1	AT1B1	P05026	481	ATP1B1	3	pubmed:28689405;pubmed:30271928;pubmed:31552303	pubmed:10952709;pubmed:12388775;pubmed:9159180	
CLCN5	CLCN5	P51795	1184	CLCN5	3	pubmed:24555563;pubmed:33341364;pubmed:38964323		
CSNK1G2	KC1G2	P78368	1455	CSNK1G2	3	pubmed:28263177;pubmed:28689405;pubmed:33806028		
CYB561D2	C56D2	O14569	11068	CYB561D2	3	pubmed:24555563;pubmed:28689405;pubmed:38964323		
DAGLB	DGLB	Q8NCG7	221955	DAGLB	3	pubmed:28263177;pubmed:28689405;pubmed:33806028		
DCAF7	DCAF7	P61962	10238	DCAF7	3	pubmed:18614565;pubmed:30327373;pubmed:38964323		
FLAD1	FAD1	Q8NFF5	80308	FLAD1	3	pubmed:18614565;pubmed:28263177;pubmed:38964323	pubmed:5455272	
GALM	GALM	Q96C23	130589	GALM	3	pubmed:35858567;pubmed:38147558;pubmed:38964323	pubmed:4963341;pubmed:5661008	
GALNT2	GALT2	Q10471	2590	GALNT2	3	pubmed:28689405;pubmed:35858567;pubmed:37942280	pubmed:3084191;pubmed:5054461	
GPCPD1	GPCP1	Q9NPB8	56261	GPCPD1	3	pubmed:24555563;pubmed:30327373;pubmed:38964323		
GUSB	BGLR	P08236	2990	GUSB	3	pubmed:24555563;pubmed:28689405;pubmed:37942280	pubmed:15763399	
INPP5B	I5P2	P32019	3633	INPP5B	3	pubmed:24555563;pubmed:30327373;pubmed:38964323	pubmed:6271223	
ISYNA1	INO1	Q9NPH2	51477	ISYNA1	3	pubmed:28689405;pubmed:35858567;pubmed:38964323		
MARS1	SYMC	P56192	4141	MARS1	3	pubmed:30327373;pubmed:37942280;pubmed:38964323	pubmed:19421340;pubmed:35976696	
MDP1	MGDP1	Q86V88	145553	MDP1	3	pubmed:18614565;pubmed:26474164;pubmed:38964323	pubmed:17472574	
MTMR12	MTMRC	Q9C0I1	54545	MTMR12	3	pubmed:18614565;pubmed:28689405;pubmed:30327373		
NANP	NANP	Q8TBE9	140838	NANP	3	pubmed:26474164;pubmed:28689405;pubmed:38964323	pubmed:14235556	
NUDT3	NUDT3	O95989	11165	NUDT3	3	pubmed:18494517;pubmed:38964323;pubmed:40043591		
OGA	OGA	O60502	10724	OGA	3	pubmed:24555563;pubmed:27006477;pubmed:30327373	pubmed:17321512;pubmed:20413512	
PGM3	AGM1	O95394	5238	PGM3	3	pubmed:26474164;pubmed:37942280;pubmed:38964323	pubmed:1140813;pubmed:4829444;pubmed:6450158;pubmed:984734	
PHGDH	SERA	O43175	26227	PHGDH	3	pubmed:18614565;pubmed:33676898;pubmed:37942280	pubmed:27405778	
PLCB3	PLCB3	Q01970	5331	PLCB3	3	pubmed:18614565;pubmed:28689405;pubmed:38964323		
PRKAB1	AAKB1	Q9Y478	5564	PRKAB1	3	pubmed:18614565;pubmed:30327373;pubmed:38964323	pubmed:19050047;pubmed:19758581;pubmed:20881209;pubmed:21214270;pubmed:25757360;pubmed:30309849	
PRKAR1B	KAP1	P31321	5575	PRKAR1B	3	pubmed:28263177;pubmed:28689405;pubmed:30327373		
PTGR1	PTGR1	Q14914	22949	PTGR1	3	pubmed:26474164;pubmed:37942280;pubmed:38964323		
PTPN1	PTN1	P18031	5770	PTPN1	3	pubmed:28263177;pubmed:28689405;pubmed:35858567	pubmed:14527338;pubmed:15039022;pubmed:8615784	
PTPN6	PTN6	P29350	5777	PTPN6	3	pubmed:26474164;pubmed:33103907;pubmed:38964323	pubmed:17404032	
RDH14	RDH14	Q9HBH5	57665	RDH14	3	pubmed:19778645;pubmed:28263177;pubmed:28689405		
SLC11A2	NRAM2	P49281	4891	SLC11A2	3	pubmed:28689405;pubmed:30271928;pubmed:31552303	pubmed:30055235	
SLC4A2	B3A2	P04920	6522	SLC4A2	3	pubmed:28689405;pubmed:30271928;pubmed:31552303		
SPTLC1	SPTC1	O15269	10558	SPTLC1	3	pubmed:26078478;pubmed:28263177;pubmed:28689405	pubmed:24454878;pubmed:31751474;pubmed:33334894	
SPTLC2	SPTC2	O15270	9517	SPTLC2	3	pubmed:28689405;pubmed:35858567;pubmed:38964323	pubmed:24454878;pubmed:33334894	
VPS4B	VPS4B	O75351	9525	VPS4B	3	pubmed:18614565;pubmed:33806028;pubmed:38964323		
ACSL1	ACSL1	P33121	2180	ACSL1	2	pubmed:16861337;pubmed:28689405	pubmed:10548543;pubmed:16834775	
ACSS2	ACSA	Q9NR19	55902	ACSS2	2	pubmed:30327373;pubmed:38964323	pubmed:38513237;pubmed:4379089;pubmed:6115779	
ACY1	ACY1	Q03154	95	ACY1	2	pubmed:30327373;pubmed:38964323		
ALDOB	ALDOB	P05062	229	ALDOB	2	pubmed:28689405;pubmed:38147558		
ANKH	ANKH	Q9HCJ1	56172	ANKH	2	pubmed:28689405;pubmed:31552303	pubmed:17950726	
ATP1A3	AT1A3	P13637	478	ATP1A3	2	pubmed:33103907;pubmed:38147558	pubmed:10952709;pubmed:12388775;pubmed:9159180	
CAB39L	CB39L	Q9H9S4	81617	CAB39L	2	pubmed:37942280;pubmed:38964323		
CKM	KCRM	P06732	1158	CKM	2	pubmed:30327373;pubmed:38964323		
CLCN4	CLCN4	P51793	1183	CLCN4	2	pubmed:31552303;pubmed:38964323		
CRPPA	ISPD	A4D126	729920	CRPPA	2	pubmed:30327373;pubmed:38964323	pubmed:31375477	
CTH	CGL	P32929	1491	CTH	2	pubmed:28263177;pubmed:38964323		
FAHD1	FAHD1	Q6P587	81889	FAHD1	2	pubmed:18614565;pubmed:38964323		
FIG4	FIG4	Q92562	9896	FIG4	2	pubmed:28689405;pubmed:38964323		
GALK2	GALK2	Q01415	2585	GALK2	2	pubmed:38147558;pubmed:38964323		
GALNT4	GALT4	Q8N4A0	100528030;8693	GALNT4	2	pubmed:28263177;pubmed:28689405	pubmed:3084191;pubmed:5054461	
GALNT6	GALT6	Q8NCL4	11226	GALNT6	2	pubmed:28689405;pubmed:33806028	pubmed:3084191;pubmed:5054461	
GDPD1	GDPD1	Q8N9F7	284161	GDPD1	2	pubmed:28263177;pubmed:28689405		
GSTM1	GSTM1	P09488	2944	GSTM1	2	pubmed:26474164;pubmed:28263177		
HK3	HXK3	P52790	3101	HK3	2	pubmed:26474164;pubmed:33103907	pubmed:7061426	
IARS1	SYIC	P41252	3376	IARS1	2	pubmed:33676898;pubmed:37942280	pubmed:19421340;pubmed:35976696	
INPP5A	I5P1	Q14642	3632	INPP5A	2	pubmed:28263177;pubmed:28689405	pubmed:6285891	
INSR	INSR	P06213	3643	INSR	2	pubmed:28689405;pubmed:31552303	pubmed:27239515;pubmed:3510133;pubmed:658615;pubmed:6995852	
KYAT1	KAT1	Q16773	883	KYAT1	2	pubmed:26474164;pubmed:38964323	pubmed:16099471	
LPCAT1	PCAT1	Q8NF37	79888	LPCAT1	2	pubmed:16861337;pubmed:37942280	pubmed:18156367;pubmed:27436223	
LSS	LSS	P48449	4047	LSS	2	pubmed:28263177;pubmed:28689405		
NT5C2	5NTC	P49902	22978	NT5C2	2	pubmed:18614565;pubmed:38964323	pubmed:15917509;pubmed:2839144	
PANK4	PANK4	Q9NVE7	55229	PANK4	2	pubmed:30327373;pubmed:38964323		
PI4KA	PI4KA	P42356	5297	PI4KA	2	pubmed:30327373;pubmed:38964323		
PIK3C3	PK3C3	Q8NEB9	5289	PIK3C3	2	pubmed:28689405;pubmed:38964323	pubmed:20404042	
PIK3R4	PI3R4	Q99570	30849	PIK3R4	2	pubmed:28689405;pubmed:38964323		
PIP4K2C	PI42C	Q8TBX8	79837	PIP4K2C	2	pubmed:18614565;pubmed:30327373		
PPA2	IPYR2	Q9H2U2	27068	PPA2	2	pubmed:24555563;pubmed:37942280		
PRKCI	KPCI	P41743	5584	PRKCI	2	pubmed:24555563;pubmed:38964323	pubmed:11669302;pubmed:19758581;pubmed:20231105;pubmed:25757360	
PTGS1	PGH1	P23219	5742	PTGS1	2	pubmed:38147558;pubmed:38964323	pubmed:15504548;pubmed:9785380	
SBF1	MTMR5	O95248	6305	SBF1	2	pubmed:28689405;pubmed:38964323		
SLC12A2	S12A2	P55011	6558	SLC12A2	2	pubmed:30271928;pubmed:31552303	pubmed:30563844	
SLC16A10	MOT10	Q8TF71	117247	SLC16A10	2	pubmed:24555563;pubmed:28689405	pubmed:3919011	
SLC16A7	MOT2	O60669	9194	SLC16A7	2	pubmed:28689405;pubmed:33806028		
SLC1A4	SATT	P43007	6509	SLC1A4	2	pubmed:30271928;pubmed:31552303	pubmed:7055559	
