	genes	mim	mim.phenotype	hgnc.symbol	type	ncbigene	ensembl	phenotype	cyto.location	morbid.symbol	chromosome	ensemble	mgi	title	title.symbol	mim.all	mim.phenotype.title	mim.phenotype.title.symbol
571	PEMT	602391		PEMT	gene	10400	ENSG00000133027				chr17	ENSG00000133027	104535	PHOSPHATIDYLETHANOLAMINE N-METHYLTRANSFERASE	PEMT	602391		
572	PEPD	613230	170100	PEPD	gene	5184	ENSG00000124299	Prolidase deficiency, 170100 (3)	19q13.11	PEPD	chr19	ENSG00000124299	97542	PEPTIDASE D	PEPD	170100;613230	PROLIDASE DEFICIENCY	
573	PFAS	602133		PFAS	gene	5198	ENSG00000178921				chr17	ENSG00000178921	2684864	PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE	PFAS	602133		
574	PFKL	171860		PFKL	gene	5211	ENSG00000141959	Hemolytic anemia due to phosphofructokinase deficiency (1)	21q22.3	PFKL	chr21	ENSG00000141959	97547	PHOSPHOFRUCTOKINASE, LIVER TYPE	PFKL	171860		
575	PFKM	610681	232800	PFKM	gene	5213	ENSG00000152556	Glycogen storage disease VII, 232800 (3)	12q13.11	PFKM	chr12	ENSG00000152556	97548	PHOSPHOFRUCTOKINASE, MUSCLE TYPE	PFKM	232800;610681	GLYCOGEN STORAGE DISEASE VII	GSD7
576	PFKP	171840		PFKP	gene	5214	ENSG00000067057				chr10	ENSG00000067057	1891833	PHOSPHOFRUCTOKINASE, PLATELET TYPE	PFKP	171840		
577	PGAM1	172250		PGAM1	gene	5223	ENSG00000171314				chr10	ENSG00000171314	97552	PHOSPHOGLYCERATE MUTASE 1	PGAM1	172250		
578	PGD	172200		PGD	gene	5226	ENSG00000142657				chr1	ENSG00000142657	97553	6-PHOSPHOGLUCONATE DEHYDROGENASE	PGD	172200		
579	PGK1	311800	300653	PGK1	gene	5230	ENSG00000102144	Phosphoglycerate kinase 1 deficiency, 300653 (3)	Xq21.1	PGK1	chrX	ENSG00000102144	97555	PHOSPHOGLYCERATE KINASE 1	PGK1	300653;311800	PHOSPHOGLYCERATE KINASE 1 DEFICIENCY	
580	PGK2	172270		PGK2	gene	5232	ENSG00000170950				chr6	ENSG00000170950	97563	PHOSPHOGLYCERATE KINASE 2	PGK2	172270		
581	PGLS	604951		PGLS	gene	25796	ENSG00000130313				chr19	ENSG00000130313	1913421	6-PHOSPHOGLUCONOLACTONASE	PGLS	604951		
582	PGM1	171900	614921	PGM1	gene	5236	ENSG00000079739	Congenital disorder of glycosylation, type It, 614921 (3)	1p31.3	PGM1	chr1	ENSG00000079739	97565	PHOSPHOGLUCOMUTASE 1	PGM1	171900;614921	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE It	CDG1T
583	PGM2	172000		PGM2	gene	55276	ENSG00000169299				chr4	ENSG00000169299	97564	PHOSPHOGLUCOMUTASE 2	PGM2	172000		
584	PGM2L1	611610	620191	PGM2L1	gene	283209	ENSG00000165434	Neurodevelopmental disorder with hypotonia, dysmorphic facies, and skin abnormalities, 620191 (3)	11q13.4	PGM2L1	chr11	ENSG00000165434	1918224	PHOSPHOGLUCOMUTASE 2-LIKE 1	PGM2L1	611610;620191	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, DYSMORPHIC FACIES, AND SKIN ABNORMALITIES	NEDHFS
585	PGM3	172100	615816	PGM3	gene	5238	ENSG00000013375	Immunodeficiency 23, 615816 (3)	6q14.1	PGM3	chr6	ENSG00000013375	97566	PHOSPHOGLUCOMUTASE 3	PGM3	172100;615816	IMMUNODEFICIENCY 23	IMD23
586	PGP	172280		PGP	gene	283871	ENSG00000184207				chr16	ENSG00000184207	1914328	PHOSPHOGLYCOLATE PHOSPHATASE	PGP	172280		
587	PHGDH	606879	256520	PHGDH	gene	26227	ENSG00000092621	Neu-Laxova syndrome 1, 256520 (3)	1p12	PHGDH	chr1	ENSG00000092621	1355330	PHOSPHOGLYCERATE DEHYDROGENASE	PHGDH	256520;606879	NEU-LAXOVA SYNDROME 1	NLS1
588	PHGDH	606879	601815	PHGDH	gene	26227	ENSG00000092621	Phosphoglycerate dehydrogenase deficiency, 601815 (3)	1p12	PHGDH	chr1	ENSG00000092621	1355330	PHOSPHOGLYCERATE DEHYDROGENASE	PHGDH	601815;606879	PHOSPHOGLYCERATE DEHYDROGENASE DEFICIENCY	PHGDHD
589	PHPT1	610167		PHPT1	gene	29085	ENSG00000054148				chr9	ENSG00000054148	1922704	PHOSPHOHISTIDINE PHOSPHATASE 1	PHPT1	610167		
590	PI4K2A	609763	620732	PI4K2A	gene	55361	ENSG00000155252	Neurodevelopmental disorder with hyperkinetic movements, seizures and structural brain abnormalities, 620732 (3)	10q24.2	PI4K2A	chr10	ENSG00000155252	1934031	PHOSPHATIDYLINOSITOL 4-KINASE, TYPE 2, ALPHA	PI4K2A	609763;620732	NEURODEVELOPMENTAL DISORDER WITH HYPERKINETIC MOVEMENTS, SEIZURES, AND STRUCTURAL BRAIN ABNORMALITIES	NEDMSB
591	PI4KA	600286	616531	PI4KA	gene	5297	ENSG00000241973	Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis, 616531 (3)	22q11.21	PI4KA	chr22	ENSG00000241973	2448506	PHOSPHATIDYLINOSITOL 4-KINASE, ALPHA	PI4KA	600286;616531	NEURODEVELOPMENTAL DISORDER WITH SPASTICITY, HYPOMYELINATING LEUKODYSTROPHY, AND BRAIN ABNORMALITIES	NEDSPLB
592	PI4KA	600286	619621	PI4KA	gene	5297	ENSG00000241973	Spastic paraplegia 84, autosomal recessive, 619621 (3)	22q11.21	PI4KA	chr22	ENSG00000241973	2448506	PHOSPHATIDYLINOSITOL 4-KINASE, ALPHA	PI4KA	600286;619621	SPASTIC PARAPLEGIA 84, AUTOSOMAL RECESSIVE	SPG84
593	PI4KA	600286	619708	PI4KA	gene	5297	ENSG00000241973	Gastrointestinal defects and immunodeficiency syndrome 2, 619708 (3)	22q11.21	PI4KA	chr22	ENSG00000241973	2448506	PHOSPHATIDYLINOSITOL 4-KINASE, ALPHA	PI4KA	600286;619708	GASTROINTESTINAL DEFECTS AND IMMUNODEFICIENCY SYNDROME 2	GIDID2
594	PIEZO1	611184	194380	PIEZO1	gene	9780	ENSG00000103335	Dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema, 194380 (3)	16q24.3	PIEZO1	chr16	ENSG00000103335	3603204	PIEZO-TYPE MECHANOSENSITIVE ION CHANNEL COMPONENT 1	PIEZO1	194380;611184	DEHYDRATED HEREDITARY STOMATOCYTOSIS 1 WITH OR WITHOUT PSEUDOHYPERKALEMIA AND/OR PERINATAL EDEMA	DHS1
595	PIEZO1	611184	616843	PIEZO1	gene	9780	ENSG00000103335	Lymphatic malformation 6, 616843 (3)	16q24.3	PIEZO1	chr16	ENSG00000103335	3603204	PIEZO-TYPE MECHANOSENSITIVE ION CHANNEL COMPONENT 1	PIEZO1	611184;616843	LYMPHATIC MALFORMATION 6	LMPHM6
596	PIEZO1	611184	620207	PIEZO1	gene	9780	ENSG00000103335	[ER blood group system], 620207 (3)	16q24.3	PIEZO1	chr16	ENSG00000103335	3603204	PIEZO-TYPE MECHANOSENSITIVE ION CHANNEL COMPONENT 1	PIEZO1	611184;620207	BLOOD GROUP, ER	ER
597	PIK3C3	602609		PIK3C3	gene	5289	ENSG00000078142				chr18	ENSG00000078142	2445019	PHOSPHATIDYLINOSITOL 3-KINASE, CLASS 3	PIK3C3	602609		
598	PIP4K2A	603140		PIP4K2A	gene	5305	ENSG00000150867				chr10	ENSG00000150867	1298206	PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, ALPHA	PIP4K2A	603140		
599	PIP4K2B	603261		PIP4K2B	gene	8396	ENSG00000276293				chr17	ENSG00000276293	1934234	PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, BETA	PIP4K2B	603261		
600	PIP4K2C	617104		PIP4K2C	gene	79837	ENSG00000166908				chr12	ENSG00000166908	2152214	PHOSPHATIDYLINOSITOL 5-PHOSPHATE 4-KINASE, TYPE II, GAMMA	PIP4K2C	617104		
601	PIP4P1	609865		PIP4P1	gene	90809	ENSG00000165782				chr14	ENSG00000165782	2448501	PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 4-PHOSPHATASE, TYPE I	PIP4P1	609865		
602	PIP5K1A	603275		PIP5K1A	gene	8394	ENSG00000143398				chr1	ENSG00000143398	107929	PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE, TYPE I, ALPHA	PIP5K1A	603275		
603	PIP5K1C	606102	611369	PIP5K1C	gene	23396	ENSG00000186111	Lethal congenital contractural syndrome 3, 611369 (3)	19p13.3	PIP5K1C	chr19	ENSG00000186111	1298224	PHOSPHATIDYLINOSITOL 4-PHOSPHATE 5-KINASE, TYPE I, GAMMA	PIP5K1C	606102;611369	LETHAL CONGENITAL CONTRACTURE SYNDROME 3	LCCS3
604	PISD	612770	618889	PISD	gene	23761	ENSG00000241878	Liberfarb syndrome, 618889 (3)	22q12.2	PISD	chr22	ENSG00000241878	2445114	PHOSPHATIDYLSERINE DECARBOXYLASE	PISD	612770;618889	LIBERFARB SYNDROME	LIBF
605	PKLR	609712	102900	PKLR	gene	5313	ENSG00000143627	Adenosine triphosphate, elevated, of erythrocytes, 102900 (3)	1q22	PKLR	chr1	ENSG00000143627	97604	PYRUVATE KINASE, LIVER AND RED BLOOD CELL	PKLR	102900;609712	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES	
606	PKLR	609712	266200	PKLR	gene	5313	ENSG00000143627	Pyruvate kinase deficiency, 266200 (3)	1q22	PKLR	chr1	ENSG00000143627	97604	PYRUVATE KINASE, LIVER AND RED BLOOD CELL	PKLR	266200;609712	PYRUVATE KINASE DEFICIENCY OF RED CELLS	
607	PKM	179050		PKM	gene	5315	ENSG00000067225				chr15	ENSG00000067225	97591	PYRUVATE KINASE, MUSCLE	PKM	179050		
608	PLA2G4A	600522	618372	PLA2G4A	gene	5321	ENSG00000116711	Gastrointestinal ulceration, recurrent, with dysfunctional platelets, 618372 (3)	1q31.1	PLA2G4A	chr1	ENSG00000116711	1195256	PHOSPHOLIPASE A2, GROUP IVA	PLA2G4A	600522;618372	GASTROINTESTINAL ULCERATION, RECURRENT, WITH DYSFUNCTIONAL PLATELETS	GURDP
609	PLA2G4B	606088		PLA2G4B	gene	100137049	ENSG00000243708				chr15	ENSG00000243708	2384819	PHOSPHOLIPASE A2, GROUP IVB	PLA2G4B	606088		
610	PLCB2	604114		PLCB2	gene	5330	ENSG00000137841	Platelet PLC beta-2 deficiency (1)	15q15.1	PLCB2	chr15	ENSG00000137841	107465	PHOSPHOLIPASE C, BETA-2	PLCB2	604114		
611	PLCB3	600230	618961	PLCB3	gene	5331	ENSG00000149782	Spondylometaphyseal dysplasia with corneal dystrophy, 618961 (3)	11q13.1	PLCB3	chr11	ENSG00000149782	104778	PHOSPHOLIPASE C, BETA-3	PLCB3	600230;618961	SPONDYLOMETAPHYSEAL DYSPLASIA WITH CORNEAL DYSTROPHY	SMDCD
612	PLCG1	172420	620514	PLCG1	gene	5335	ENSG00000124181	?Immune dysregulation, autoimmunity, and autoinflammation, 620514 (3)	20q12	PLCG1	chr20	ENSG00000124181	97615	PHOSPHOLIPASE C, GAMMA-1	PLCG1	172420;620514	IMMUNE DYSREGULATION, AUTOIMMUNITY, AND AUTOINFLAMMATION	IDAA
613	PLD1	602382	212093	PLD1	gene	5337	ENSG00000075651	Cardiac valvular dysplasia 1, 212093 (3)	3q26.31	PLD1	chr3	ENSG00000075651	109585	PHOSPHOLIPASE D1, PHOSPHATIDYLCHOLINE-SPECIFIC	PLD1	212093;602382	CARDIAC VALVULAR DYSPLASIA 1	CVDP1
614	PLSCR1	604170		PLSCR1	gene	5359	ENSG00000188313				chr3	ENSG00000188313	1270860;893575	PHOSPHOLIPID SCRAMBLASE 1	PLSCR1	604170		
615	PLSCR4	607612		PLSCR4	gene	57088	ENSG00000114698				chr3	ENSG00000114698	2143267	PHOSPHOLIPID SCRAMBLASE 4	PLSCR4	607612		
616	PMM2	601785	212065	PMM2	gene	5373	ENSG00000140650	Congenital disorder of glycosylation, type Ia, 212065 (3)	16p13.2	PMM2	chr16	ENSG00000140650	1859214	PHOSPHOMANNOMUTASE 2	PMM2	212065;601785	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ia	CDG1A
617	PNP	164050	613179	PNP	gene	4860	ENSG00000198805	Immunodeficiency due to purine nucleoside phosphorylase deficiency, 613179 (3)	14q11.2	PNP	chr14	ENSG00000198805	3712328;97365	PURINE NUCLEOSIDE PHOSPHORYLASE	PNP	164050;613179	PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY	
618	PNPLA6	603197	215470	PNPLA6	gene	10908	ENSG00000032444	Boucher-Neuhauser syndrome, 215470 (3)	19p13.2	PNPLA6	chr19	ENSG00000032444	1354723	PATATIN-LIKE PHOSPHOLIPASE DOMAIN-CONTAINING PROTEIN 6	PNPLA6	215470;603197	BOUCHER-NEUHAUSER SYNDROME	BNHS
619	PNPLA6	603197	245800	PNPLA6	gene	10908	ENSG00000032444	?Laurence-Moon syndrome, 245800 (3)	19p13.2	PNPLA6	chr19	ENSG00000032444	1354723	PATATIN-LIKE PHOSPHOLIPASE DOMAIN-CONTAINING PROTEIN 6	PNPLA6	245800;603197	LAURENCE-MOON SYNDROME	LNMS
620	PNPLA6	603197	275400	PNPLA6	gene	10908	ENSG00000032444	Oliver-McFarlane syndrome, 275400 (3)	19p13.2	PNPLA6	chr19	ENSG00000032444	1354723	PATATIN-LIKE PHOSPHOLIPASE DOMAIN-CONTAINING PROTEIN 6	PNPLA6	275400;603197	OLIVER-MCFARLANE SYNDROME	OMCS
621	PNPLA6	603197	612020	PNPLA6	gene	10908	ENSG00000032444	Spastic paraplegia 39, autosomal recessive, 612020 (3)	19p13.2	PNPLA6	chr19	ENSG00000032444	1354723	PATATIN-LIKE PHOSPHOLIPASE DOMAIN-CONTAINING PROTEIN 6	PNPLA6	603197;612020	SPASTIC PARAPLEGIA 39, AUTOSOMAL RECESSIVE	SPG39
622	PNPO	603287	610090	PNPO	gene	55163	ENSG00000108439	Pyridoxamine 5'-phosphate oxidase deficiency, 610090 (3)	17q21.32	PNPO	chr17	ENSG00000108439	2144151	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE	PNPO	603287;610090	PYRIDOXAMINE 5-PRIME-PHOSPHATE OXIDASE DEFICIENCY	PNPOD
623	PPA1	179030		PPA1	gene	5464	ENSG00000180817				chr10	ENSG00000180817	97831	PYROPHOSPHATASE, INORGANIC, 1	PPA1	179030		
624	PPA2	609988	617222	PPA2	gene	27068	ENSG00000138777	Sudden cardiac failure, infantile, 617222 (3)	4q24	PPA2	chr4	ENSG00000138777	1922026	PYROPHOSPHATASE, INORGANIC, 2	PPA2	609988;617222	SUDDEN CARDIAC FAILURE, INFANTILE	SCFI
625	PPA2	609988	617223	PPA2	gene	27068	ENSG00000138777	?Sudden cardiac failure, alcohol-induced, 617223 (3)	4q24	PPA2	chr4	ENSG00000138777	1922026	PYROPHOSPHATASE, INORGANIC, 2	PPA2	609988;617223	SUDDEN CARDIAC FAILURE, ALCOHOL-INDUCED	SCFAI
626	PPCDC	609854		PPCDC	gene	60490	ENSG00000138621				chr15	ENSG00000138621	1914062	PHOSPHOPANTOTHENOYLCYSTEINE DECARBOXYLASE	PPCDC	609854		
627	PPCS	609853	618189	PPCS	gene	79717	ENSG00000127125	Cardiomyopathy, dilated, 2C, 618189 (3)	1p34.2	PPCS	chr1	ENSG00000127125	1915237	PHOSPHOPANTOTHENOYLCYSTEINE SYNTHETASE	PPCS	609853;618189	CARDIOMYOPATHY, DILATED, 2C	CMD2C
628	PPIA	123840		PPIA	gene	5478	ENSG00000196262				chr7	ENSG00000196262	97749	PEPTIDYL-PROLYL ISOMERASE A	PPIA	123840		
629	PPIB	123841	259440	PPIB	gene	5479	ENSG00000166794	Osteogenesis imperfecta, type IX, 259440 (3)	15q22.31	PPIB	chr15	ENSG00000166794	97750	PEPTIDYL-PROLYL ISOMERASE B	PPIB	123841;259440	OSTEOGENESIS IMPERFECTA, TYPE IX	OI9
630	PPIP5K2	611648	618422	PPIP5K2	gene	23262	ENSG00000145725	Deafness, autosomal recessive 100, 618422 (3)	5q21.1	PPIP5K2	chr5	ENSG00000145725	2142810	DIPHOSPHOINOSITOL PENTAKISPHOSPHATE KINASE 2	PPIP5K2	611648;618422	DEAFNESS, AUTOSOMAL RECESSIVE 100	DFNB100
631	PPME1	611117		PPME1	gene	51400	ENSG00000214517				chr11	ENSG00000214517	1919840	PROTEIN PHOSPHATASE METHYLESTERASE 1	PPME1	611117		
632	PPP1CA	176875		PPP1CA	gene	5499	ENSG00000172531				chr11	ENSG00000172531	103016	PROTEIN PHOSPHATASE 1, CATALYTIC SUBUNIT, ALPHA ISOFORM	PPP1CA	176875		
633	PPP1CB	600590	617506	PPP1CB	gene	5500	ENSG00000213639	Noonan syndrome-like disorder with loose anagen hair 2, 617506 (3)	2p23.2	PPP1CB	chr2	ENSG00000213639	104871	PROTEIN PHOSPHATASE 1, CATALYTIC SUBUNIT, BETA ISOFORM	PPP1CB	600590;617506	NOONAN SYNDROME-LIKE DISORDER WITH LOOSE ANAGEN HAIR 2	NSLH2
634	PPP1CC	176914		PPP1CC	gene	5501	ENSG00000186298				chr12	ENSG00000186298	104872;3647492	PROTEIN PHOSPHATASE 1, CATALYTIC SUBUNIT, GAMMA ISOFORM	PPP1CC	176914		
635	PPP2CA	176915	618354	PPP2CA	gene	5515	ENSG00000113575	Houge-Janssens syndrome 3, 618354 (3)	5q31.1	PPP2CA	chr5	ENSG00000113575	1321159	PROTEIN PHOSPHATASE 2, CATALYTIC SUBUNIT, ALPHA ISOFORM	PPP2CA	176915;618354	HOUGE-JANSSENS SYNDROME 3	HJS3
636	PPP2CB	176916		PPP2CB	gene	5516	ENSG00000104695				chr8	ENSG00000104695	1321161	PROTEIN PHOSPHATASE 2, CATALYTIC SUBUNIT, BETA ISOFORM	PPP2CB	176916		
637	PPP2R1A	605983	616362	PPP2R1A	gene	5518	ENSG00000105568	Houge-Janssens syndrome 2, 616362 (3)	19q13.41	PPP2R1A	chr19	ENSG00000105568	1926334	PROTEIN PHOSPHATASE 2, STRUCTURAL/REGULATORY SUBUNIT A, ALPHA	PPP2R1A	605983;616362	HOUGE-JANSSENS SYNDROME 2	HJS2
638	PPP2R1B	603113	211980	PPP2R1B	gene	5519	ENSG00000137713	Lung cancer, somatic, 211980 (3)	11q23.1	PPP2R1B	chr11	ENSG00000137713	1920949	PROTEIN PHOSPHATASE 2, STRUCTURAL/REGULATORY SUBUNIT A, BETA	PPP2R1B	211980;603113	LUNG CANCER	
639	PPP2R5B	601644		PPP2R5B	gene	5526	ENSG00000068971				chr11	ENSG00000068971	2388480	PROTEIN PHOSPHATASE 2, REGULATORY SUBUNIT B (B56), BETA	PPP2R5B	601644		
640	PPP2R5D	601646	616355	PPP2R5D	gene	5528	ENSG00000112640	Houge-Janssens syndrome 1, 616355 (3)	6p21.1	PPP2R5D	chr6	ENSG00000112640	2388481	PROTEIN PHOSPHATASE 2, REGULATORY SUBUNIT B (B56), DELTA	PPP2R5D	601646;616355	HOUGE-JANSSENS SYNDROME 1	HJS1
641	PRDX1	176763	277400	PRDX1	gene	5052	ENSG00000117450	Methylmalonic aciduria and homocystinuria, cblC type, digenic, 277400 (3)	1p34.1	PRDX1	chr1	ENSG00000117450	99523	PEROXIREDOXIN 1	PRDX1	176763;277400	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblC TYPE	MAHCC
642	PRDX2	600538		PRDX2	gene	7001	ENSG00000167815				chr19	ENSG00000167815	109486	PEROXIREDOXIN 2	PRDX2	600538		
643	PRDX4	300927		PRDX4	gene	10549	ENSG00000123131				chrX	ENSG00000123131	1859815	PEROXIREDOXIN 4	PRDX4	300927		
644	PRDX5	606583		PRDX5	gene	25824	ENSG00000126432				chr11	ENSG00000126432	1859821	PEROXIREDOXIN 5	PRDX5	606583		
645	PRDX6	602316		PRDX6	gene	9588	ENSG00000117592				chr1	ENSG00000117592	1336888;894320	PEROXIREDOXIN 6	PRDX6	602316		
646	PREP	600400		PREP	gene	5550	ENSG00000085377				chr6	ENSG00000085377	1270863	PROLYL ENDOPEPTIDASE	PREP	600400		
647	PRKAA1	602739		PRKAA1	gene	5562	ENSG00000132356				chr5	ENSG00000132356	2145955	PROTEIN KINASE, AMP-ACTIVATED, CATALYTIC, ALPHA-1	PRKAA1	602739		
648	PRKAB1	602740		PRKAB1	gene	5564	ENSG00000111725				chr12	ENSG00000111725	1336167	PROTEIN KINASE, AMP-ACTIVATED, NONCATALYTIC, BETA-1	PRKAB1	602740		
649	PRKACA	601639	615830	PRKACA	gene	5566	ENSG00000072062	Cushing syndrome, ACTH-independent adrenal, somatic, 615830 (3)	19p13.12	PRKACA	chr19	ENSG00000072062	97592	PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, ALPHA	PRKACA	601639;615830	PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 4	PPNAD4
650	PRKACA	601639	619142	PRKACA	gene	5566	ENSG00000072062	Cardioacrofacial dysplasia 1, 619142 (3)	19p13.12	PRKACA	chr19	ENSG00000072062	97592	PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, ALPHA	PRKACA	601639;619142	CARDIOACROFACIAL DYSPLASIA 1	CAFD1
651	PRKACB	176892	619143	PRKACB	gene	5567	ENSG00000142875	Cardioacrofacial dysplasia 2, 619143 (3)	1p31.1	PRKACB	chr1	ENSG00000142875	97594	PROTEIN KINASE, cAMP-DEPENDENT, CATALYTIC, BETA	PRKACB	176892;619143	CARDIOACROFACIAL DYSPLASIA 2	CAFD2
652	PRKAG1	602742		PRKAG1	gene	5571	ENSG00000181929				chr12	ENSG00000181929	108411	PROTEIN KINASE, AMP-ACTIVATED, NONCATALYTIC, GAMMA-1	PRKAG1	602742		
653	PRKAR1A	188830		PRKAR1A	gene	5573	ENSG00000108946	Adrenocortical tumor, somatic, (3)	17q24.2	PRKAR1A	chr17	ENSG00000108946	104878	PROTEIN KINASE, cAMP-DEPENDENT, REGULATORY, TYPE I, ALPHA	PRKAR1A	188830		
654	PRKAR1A	188830	101800	PRKAR1A	gene	5573	ENSG00000108946	Acrodysostosis 1, with or without hormone resistance, 101800 (3)	17q24.2	PRKAR1A	chr17	ENSG00000108946	104878	PROTEIN KINASE, cAMP-DEPENDENT, REGULATORY, TYPE I, ALPHA	PRKAR1A	101800;188830	ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE	ACRDYS1
655	PRKAR1A	188830	160980	PRKAR1A	gene	5573	ENSG00000108946	Carney complex, type 1, 160980 (3)	17q24.2	PRKAR1A	chr17	ENSG00000108946	104878	PROTEIN KINASE, cAMP-DEPENDENT, REGULATORY, TYPE I, ALPHA	PRKAR1A	160980;188830	CARNEY COMPLEX, TYPE 1	CNC1
656	PRKAR1A	188830	255960	PRKAR1A	gene	5573	ENSG00000108946	Myxoma, intracardiac, 255960 (3)	17q24.2	PRKAR1A	chr17	ENSG00000108946	104878	PROTEIN KINASE, cAMP-DEPENDENT, REGULATORY, TYPE I, ALPHA	PRKAR1A	188830;255960	MYXOMA, INTRACARDIAC	
657	PRKAR1A	188830	610489	PRKAR1A	gene	5573	ENSG00000108946	Pigmented nodular adrenocortical disease, primary, 1, 610489 (3)	17q24.2	PRKAR1A	chr17	ENSG00000108946	104878	PROTEIN KINASE, cAMP-DEPENDENT, REGULATORY, TYPE I, ALPHA	PRKAR1A	188830;610489	PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 1	PPNAD1
658	PRKAR1B	176911	619680	PRKAR1B	gene	5575	ENSG00000188191	Marbach-Schaaf neurodevelopmental syndrome, 619680 (3)	7p22.3	PRKAR1B	chr7	ENSG00000188191	97759	PROTEIN KINASE, cAMP-DEPENDENT, REGULATORY, TYPE I, BETA	PRKAR1B	176911;619680	MARBACH-SCHAAF NEURODEVELOPMENTAL SYNDROME	MASNS
659	PRKAR2B	176912		PRKAR2B	gene	5577	ENSG00000005249				chr7	ENSG00000005249	97760	PROTEIN KINASE, cAMP-DEPENDENT, REGULATORY, TYPE II, BETA	PRKAR2B	176912		
660	PRKCA	176960		PRKCA	gene	5578	ENSG00000154229	Pituitary tumor, invasive (3)	17q24.2	PRKCA	chr17	ENSG00000154229	97595	PROTEIN KINASE C, ALPHA	PRKCA	176960		
661	PRKCB	176970		PRKCB	gene	5579	ENSG00000166501				chr16	ENSG00000166501	97596	PROTEIN KINASE C, BETA	PRKCB	176970		
662	PRKCI	600539		PRKCI	gene	5584	ENSG00000163558				chr3	ENSG00000163558	99260	PROTEIN KINASE C, IOTA FORM	PRKCI	600539		
663	PRKCZ	176982		PRKCZ	gene	5590	ENSG00000067606				chr1	ENSG00000067606	97602	PROTEIN KINASE C, ZETA FORM	PRKCZ	176982		
664	PRKD1	605435	617364	PRKD1	gene	5587	ENSG00000184304	Congenital heart defects and ectodermal dysplasia, 617364 (3)	14q12	PRKD1	chr14	ENSG00000184304	99879	PROTEIN KINASE D1	PRKD1	605435;617364	CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA	CHDED
665	PRKG1	176894	615436	PRKG1	gene	5592	ENSG00000185532	Aortic aneurysm, familial thoracic 8, 615436 (3)	10q11.23-q21.1	PRKG1	chr10	ENSG00000185532	108174	PROTEIN KINASE, cGMP-DEPENDENT, REGULATORY, TYPE I	PRKG1	176894;615436	AORTIC ANEURYSM, FAMILIAL THORACIC 8	AAT8
666	PRMT1	602950		PRMT1	gene	3276	ENSG00000126457				chr19	ENSG00000126457	107846	PROTEIN ARGININE METHYLTRANSFERASE 1	PRMT1	602950		
667	PRMT5	604045		PRMT5	gene	10419	ENSG00000100462				chr14	ENSG00000100462	1351645	PROTEIN ARGININE METHYLTRANSFERASE 5	PRMT5	604045		
668	PRPS1	311850	300661	PRPS1	gene	5631	ENSG00000147224	Phosphoribosylpyrophosphate synthetase superactivity, 300661 (3);Gout, PRPS-related, 300661 (3)	Xq22.3	PRPS1	chrX	ENSG00000147224	97775	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE I	PRPS1	300661;311850	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE SUPERACTIVITY	
669	PRPS1	311850	301835	PRPS1	gene	5631	ENSG00000147224	Arts syndrome, 301835 (3)	Xq22.3	PRPS1	chrX	ENSG00000147224	97775	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE I	PRPS1	301835;311850	ARTS SYNDROME	ARTS
670	PRPS1	311850	304500	PRPS1	gene	5631	ENSG00000147224	Deafness, X-linked 1, 304500 (3)	Xq22.3	PRPS1	chrX	ENSG00000147224	97775	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE I	PRPS1	304500;311850	DEAFNESS, X-LINKED 1	DFNX1
671	PRPS1	311850	311070	PRPS1	gene	5631	ENSG00000147224	Charcot-Marie-Tooth disease, X-linked recessive, 5, 311070 (3)	Xq22.3	PRPS1	chrX	ENSG00000147224	97775	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE I	PRPS1	311070;311850	CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 5	CMTX5
672	PRPS1L1	611566		PRPS1L1	gene	221823	ENSG00000229937				chr7	ENSG00000229937	1922706	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE 1-LIKE 1	PRPS1L1	611566		
